Sample	Population_descriptor	Source	Haplotype	Sample_hap	x1	x2
HG00267	Finnish in Finland	1000G	0	HG00267_H1	0.5166602364358784	-1.1500419988170631
HG00267	Finnish in Finland	1000G	1	HG00267_H2	0.48996236498173656	-1.1963993084051165
HG00268	Finnish in Finland	1000G	0	HG00268_H1	0.4890825055950914	-1.2047019192512036
HG00268	Finnish in Finland	1000G	1	HG00268_H2	0.4976974805631025	-1.2463407447774482
HG00269	Finnish in Finland	1000G	0	HG00269_H1	0.4935185783843988	-1.1925608243551076
HG00269	Finnish in Finland	1000G	1	HG00269_H2	0.4881046549646938	-1.194874043453341
HG00271	Finnish in Finland	1000G	0	HG00271_H1	0.49703357044655805	-1.123400012343169
HG00271	Finnish in Finland	1000G	1	HG00271_H2	0.5082705739741901	-1.16584442839198
HG00273	Finnish in Finland	1000G	0	HG00273_H1	0.4983826564625724	-1.1610240896570563
HG00273	Finnish in Finland	1000G	1	HG00273_H2	0.5028161399161325	-1.2351174472328585
HG00274	Finnish in Finland	1000G	0	HG00274_H1	0.4979247931265096	-1.2334720195023086
HG00274	Finnish in Finland	1000G	1	HG00274_H2	0.4973737358516075	-1.2035847559346036
HG00275	Finnish in Finland	1000G	0	HG00275_H1	0.48746646778501035	-1.241094014889697
HG00275	Finnish in Finland	1000G	1	HG00275_H2	0.4943927927680949	-1.208630568832177
HG00277	Finnish in Finland	1000G	0	HG00277_H1	0.5053583850435117	-1.2524548019000217
HG00277	Finnish in Finland	1000G	1	HG00277_H2	0.4952758550364328	-1.2698432476637598
HG00278	Finnish in Finland	1000G	0	HG00278_H1	0.5010119116876879	-1.2092433169930197
HG00278	Finnish in Finland	1000G	1	HG00278_H2	0.503291903677346	-1.1836116897423787
HG00281	Finnish in Finland	1000G	0	HG00281_H1	0.5104976313651345	-1.1935915600042724
HG00281	Finnish in Finland	1000G	1	HG00281_H2	0.5127444948579463	-1.187480757396696
HG00282	Finnish in Finland	1000G	0	HG00282_H1	0.49290770368662973	-1.1927819521331233
HG00282	Finnish in Finland	1000G	1	HG00282_H2	0.5084539340202584	-1.1785786461714955
HG00284	Finnish in Finland	1000G	0	HG00284_H1	0.5104501968546185	-1.211345555126544
HG00284	Finnish in Finland	1000G	1	HG00284_H2	0.5099472855979595	-1.18189273283706
HG00285	Finnish in Finland	1000G	0	HG00285_H1	0.5393252006309889	-1.139889735653724
HG00285	Finnish in Finland	1000G	1	HG00285_H2	0.48492716480957004	-1.1839104495518022
HG00288	Finnish in Finland	1000G	0	HG00288_H1	0.5074770624943316	-1.2119535634210137
HG00288	Finnish in Finland	1000G	1	HG00288_H2	0.5133317492798665	-1.196780683907163
HG00304	Finnish in Finland	1000G	0	HG00304_H1	0.48670565769666924	-1.1974178284822372
HG00304	Finnish in Finland	1000G	1	HG00304_H2	0.4971602290461079	-1.1764763610617546
HG00306	Finnish in Finland	1000G	0	HG00306_H1	0.48934483039684135	-1.2503574576676513
HG00306	Finnish in Finland	1000G	1	HG00306_H2	0.4925488866144965	-1.2330826216370974
HG00308	Finnish in Finland	1000G	0	HG00308_H1	0.47969090919244056	-1.1537745782634452
HG00308	Finnish in Finland	1000G	1	HG00308_H2	0.5001205864117155	-1.180439803898839
HG00309	Finnish in Finland	1000G	0	HG00309_H1	0.4912428102231742	-1.1811808899124887
HG00309	Finnish in Finland	1000G	1	HG00309_H2	0.48964640673095894	-1.1813035418346116
HG00310	Finnish in Finland	1000G	0	HG00310_H1	0.5071063809946894	-1.2386144968963235
HG00310	Finnish in Finland	1000G	1	HG00310_H2	0.48254732102119996	-1.2153835695859536
HG00311	Finnish in Finland	1000G	0	HG00311_H1	0.4974377421762509	-1.282854868084035
HG00311	Finnish in Finland	1000G	1	HG00311_H2	0.5032167653946046	-1.2584848151082402
HG00313	Finnish in Finland	1000G	0	HG00313_H1	0.514257407558449	-1.1870751369828312
HG00313	Finnish in Finland	1000G	1	HG00313_H2	0.5054270344594959	-1.1577464003251265
HG00315	Finnish in Finland	1000G	0	HG00315_H1	0.503245668314398	-1.1836296455856443
HG00315	Finnish in Finland	1000G	1	HG00315_H2	0.49133268190597323	-1.1785253491016399
HG00318	Finnish in Finland	1000G	0	HG00318_H1	0.493964103877716	-1.2447309584917514
HG00318	Finnish in Finland	1000G	1	HG00318_H2	0.5053239847325665	-1.2343225853381457
HG00319	Finnish in Finland	1000G	0	HG00319_H1	0.49444896566625307	-1.1911458836848625
HG00319	Finnish in Finland	1000G	1	HG00319_H2	0.4913710832807654	-1.1911616518466388
HG00324	Finnish in Finland	1000G	0	HG00324_H1	0.493568314099308	-1.1512220822065218
HG00324	Finnish in Finland	1000G	1	HG00324_H2	0.4907689538544145	-1.220960752835066
HG00325	Finnish in Finland	1000G	0	HG00325_H1	0.523851619294331	-1.135169849323172
HG00325	Finnish in Finland	1000G	1	HG00325_H2	0.5287553438066718	-1.1317398835174772
HG00326	Finnish in Finland	1000G	0	HG00326_H1	0.5067470986728723	-1.1820436593982075
HG00326	Finnish in Finland	1000G	1	HG00326_H2	0.4995827404643685	-1.2193700897008934
HG00327	Finnish in Finland	1000G	0	HG00327_H1	0.4929233544476769	-1.2020770447569493
HG00327	Finnish in Finland	1000G	1	HG00327_H2	0.5011564873764348	-1.1719995889622503
HG00328	Finnish in Finland	1000G	0	HG00328_H1	0.49495505038307286	-1.2540966783972993
HG00328	Finnish in Finland	1000G	1	HG00328_H2	0.5201980480888146	-1.2048661452860723
HG00330	Finnish in Finland	1000G	0	HG00330_H1	0.47977774715416666	-1.1926662183549614
HG00330	Finnish in Finland	1000G	1	HG00330_H2	0.48718477873640414	-1.2023586419760506
HG00331	Finnish in Finland	1000G	0	HG00331_H1	0.49266045304838274	-1.2250400514168
HG00331	Finnish in Finland	1000G	1	HG00331_H2	0.48167618359066877	-1.2032587506379993
HG00332	Finnish in Finland	1000G	0	HG00332_H1	0.49728503360868603	-1.1674833673036291
HG00332	Finnish in Finland	1000G	1	HG00332_H2	0.4906630859441611	-1.221149975409281
HG00334	Finnish in Finland	1000G	0	HG00334_H1	0.4789231140939771	-1.2665908842216542
HG00334	Finnish in Finland	1000G	1	HG00334_H2	0.49605904687780744	-1.2274418332773747
HG00335	Finnish in Finland	1000G	0	HG00335_H1	0.4932779186569835	-1.2274481308928542
HG00335	Finnish in Finland	1000G	1	HG00335_H2	0.5090216079661901	-1.2026455257196151
HG00336	Finnish in Finland	1000G	0	HG00336_H1	0.5339021197932213	-1.1495215413119415
HG00336	Finnish in Finland	1000G	1	HG00336_H2	0.4883715962164437	-1.1919776878073265
HG00337	Finnish in Finland	1000G	0	HG00337_H1	0.4952493543733162	-1.2407456442444773
HG00337	Finnish in Finland	1000G	1	HG00337_H2	0.5092426755619959	-1.2725846168738588
HG00338	Finnish in Finland	1000G	0	HG00338_H1	0.49756595462562775	-1.199254213218941
HG00338	Finnish in Finland	1000G	1	HG00338_H2	0.4715124585370805	-1.2310903507176356
HG00339	Finnish in Finland	1000G	0	HG00339_H1	0.5151623952097023	-1.1778510690408515
HG00339	Finnish in Finland	1000G	1	HG00339_H2	0.48803313522282504	-1.1715739081267578
HG00341	Finnish in Finland	1000G	0	HG00341_H1	0.459209409795541	-1.204018036492933
HG00341	Finnish in Finland	1000G	1	HG00341_H2	0.4672816870137788	-1.230221174045916
HG00342	Finnish in Finland	1000G	0	HG00342_H1	0.5181159839513941	-1.1775205915957805
HG00342	Finnish in Finland	1000G	1	HG00342_H2	0.5066838662987168	-1.174296810495873
HG00343	Finnish in Finland	1000G	0	HG00343_H1	0.48781354132731986	-1.2278301986636293
HG00343	Finnish in Finland	1000G	1	HG00343_H2	0.5133599061243781	-1.175150701011893
HG00345	Finnish in Finland	1000G	0	HG00345_H1	0.5097096276162425	-1.2079093665703855
HG00345	Finnish in Finland	1000G	1	HG00345_H2	0.49360687469835784	-1.1800561835432868
HG00346	Finnish in Finland	1000G	0	HG00346_H1	0.5041191138594496	-1.2416865801769719
HG00346	Finnish in Finland	1000G	1	HG00346_H2	0.48510101845885023	-1.2161751915404762
HG00349	Finnish in Finland	1000G	0	HG00349_H1	0.5019711227657186	-1.1552191058608585
HG00349	Finnish in Finland	1000G	1	HG00349_H2	0.4956919475892473	-1.2147534364727972
